Settlement,Raw Sugar,Crude Oil,Wheat,Corn,Arabica Coffee,Gold,Soybean,Dow Jone,RBOB Gasoline,Specs Net Long,Line(QBRL=),Line(QTHB=),Line(QINR=),Line(Q.DXY),Line(QAUD=)
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,,ค่าเงินบราซิล,ค่าเงินไทย,ค่าเงินอินเดีย, Dollar Index,ค่าเงินออสเตรเลีย
10/7/2017,13.56,44.4,541,391.75,126.25,1212.1,1020.25,21408.52,1.5007,-98896,3.2803,34.1,64.6,96.008,0.7605
11/7/2017,13.44,45.04,541,392.25,124.45,1213.6,1025.25,21409.07,1.5183,-66066,3.2548,34.11,64.45,96.022,0.7605
12/7/2017,13.49,45.49,528,376.25,126,1218.1,1016.75,21532.14,1.5208,-24984,3.2542,34.08,64.55,95.669,0.7634
13/7/2017,14.14,46.08,499.75,361,129.35,1216.3,972.5,21553.09,1.5261,-25523,3.2072,33.95,64.45,95.761,0.7675
14/7/2017,14.3,46.54,499,365.25,131.7,1226.6,985.25,21637.74,1.5605,-32240,3.2134,33.92,64.46,95.728,0.7726
17/7/2017,14.09,46.02,506.5,375,131.55,1232.8,985,21629.72,1.5567,-4340,3.1794,33.76,64.38,95.153,0.7828
18/7/2017,14.1,46.4,502.75,377,131.9,1241.1,989.5,21574.73,1.5789,-45936,3.1828,33.6,64.33,95.128,0.7798
19/7/2017,14.5,47.12,500.25,382.5,131.2,1241.2,999.75,21640.75,1.6169,-56255,3.1542,33.57,64.27,94.604,0.7915
20/7/2017,14.41,46.79,503.75,391,135,1244.8,1013.25,21611.78,1.6062,-92063,3.1486,33.59,64.25,94.779,0.7949
21/7/2017,14.4,45.77,496,379.75,136.55,1254.3,1009,21580.07,1.5633,-99141,3.1206,33.57,64.37,94.306,0.7957
24/7/2017,14.4,46.34,487.5,377.25,132.55,1253.9,997.5,21513.17,1.5568,-134179,3.1416,33.45,64.38,93.858,0.7911
25/7/2017,13.9,47.89,472.75,368.75,130.6,1251.7,981.5,21613.43,1.5962,-132331,3.1455,33.41,64.39,93.977,0.7922
26/7/2017,14.23,48.75,475.5,372.75,134.8,1249,988.75,21711.01,1.6173,-149658,3.1722,33.46,64.38,94.054,0.7936
27/7/2017,14.43,49.04,481,374.25,135.95,1259.6,994.75,21796.55,1.6446,-175261,3.1385,33.39,64.31,93.672,0.8001
28/7/2017,14.37,49.71,481,374.25,137.85,1268.4,1000.75,21830.31,1.6761,-177188,3.1524,33.33,64.11,93.864,0.7963
31/7/2017,14.91,50.17,474.75,370.75,139.25,1266.6,994.5,21891.12,1.7058,-188738,3.1316,33.37,64.11,93.259,0.7986
1/8/2017,14.88,49.16,465.25,362.5,137.85,1272.6,959.5,21963.92,1.6613,-163835,3.1259,33.29,64.17,92.863,0.8002
2/8/2017,14.79,49.59,464.5,365,140.35,1271.8,966.5,22016.24,1.6448,-113669,3.1254,33.26,64.09,93.043,0.7967
3/8/2017,14.31,49.03,459.75,363.5,140.2,1267.8,950.5,22026.1,1.6319,-131636,3.1131,33.25,63.63,92.836,0.7962
4/8/2017,14.14,49.58,459.5,366.5,140.15,1258.3,949.25,22092.81,1.6463,-142817,3.1123,33.25,63.69,92.839,0.7948
7/8/2017,13.87,49.39,466.75,372.25,142.05,1258.2,959.75,22118.42,1.6299,-88052,3.1305,33.27,63.62,93.542,0.7922
8/8/2017,13.78,49.17,460.5,369.75,142.75,1256.4,963,22085.34,1.6208,-36289,3.1261,33.27,63.82,93.432,0.7911
9/8/2017,13.64,49.56,463.75,372.25,142.65,1273,963,22048.7,1.62,12535,3.1266,33.27,63.69,93.647,0.7912
10/8/2017,13.24,48.59,448.25,357.25,138.5,1283.7,930.75,21844.01,1.6028,27752,3.1556,33.25,63.86,93.548,0.7886
11/8/2017,13.2,48.82,441.25,360.75,140.3,1287.7,935.5,21858.32,1.613,24388,3.1754,33.23,64.09,93.401,0.7874
14/8/2017,13.5,47.59,436.75,362.75,136.95,1284.2,925.5,21993.71,1.5767,-3926,3.1934,33.19,64.14,93.069,0.7889
15/8/2017,13.13,47.55,426.5,355.25,132,1273.7,921.75,21998.99,1.5795,-22257,3.1885,33.25,64.08,93.411,0.7849
16/8/2017,12.94,46.78,419.5,352.5,130.95,1276.9,921.75,22024.87,1.5638,-37478,3.1692,33.3,64.11,93.853,0.7818
17/8/2017,13.29,47.09,414.25,350.5,128.45,1286.4,930.25,21750.73,1.5869,-37682,3.1518,33.25,64.17,93.541,0.7922
18/8/2017,13.41,48.51,414.5,352,128.05,1285.7,937.5,21674.51,1.624,-28672,3.1741,33.24,64.17,93.622,0.7884
21/8/2017,13.52,47.37,407.75,349,126.4,1290.8,932.5,21703.75,1.5841,-60839,3.1462,33.21,64.09,93.434,0.7927
22/8/2017,13.51,47.64,399,346,125.85,1285.1,933.75,21899.89,1.5908,-62701,3.1642,33.23,64.11,93.095,0.7935
23/8/2017,13.67,48.41,397.75,342,126.25,1288.9,935,21812.09,1.6189,-84983,3.1602,33.23,64.07,93.545,0.7907
24/8/2017,14.02,47.43,405.5,342,126.7,1286.5,941.25,21783.4,1.6641,-84552,3.1405,33.32,64.04,93.147,0.7902
25/8/2017,14.03,47.87,404.5,338.75,130.2,1292.5,939,21813.67,1.6666,-51038,3.1473,33.32,64.04,93.277,0.79
28/8/2017,14.31,46.57,396.75,336,129.9,1309.7,935.25,21808.4,1.7123,-46258,3.1595,33.23,64,92.74,0.7933
29/8/2017,13.82,46.44,397.25,333.5,127.3,1313.1,930.75,21865.37,1.7833,-60625,3.1664,33.18,63.9,92.207,0.7962
30/8/2017,13.91,45.96,400.25,329.5,126.95,1308.1,923,21892.43,1.8847,-58508,3.1644,33.18,64.01,92.249,0.7947
31/8/2017,14.4,47.23,408.75,342.25,128.15,1316.2,936.25,21948.1,2.1399,-61548,3.1596,33.2,63.99,92.884,0.7904
1/9/2017,13.75,47.29,412.5,340,127.75,1324.5,942,21987.56,1.7479,-49509,3.1474,33.17,63.93,92.668,0.7946
4/9/2017,13.75,47.29,412.5,340,127.75,1324.5,942,21987.56,1.7479,-40681,3.1409,33.15,64.02,92.814,0.7967
5/9/2017,14.03,48.66,419.5,344.25,126.5,1339.2,960.5,21753.31,1.6991,-73620,3.1412,33.15,64.04,92.635,0.7942
6/9/2017,14.29,49.16,423.25,347,126.6,1333.9,964.5,21807.64,1.6733,-126026,3.1163,33.15,64.1,92.252,0.7995
7/9/2017,14.03,49.09,415.5,341.75,127.9,1345.1,963.25,21784.78,1.661,-112060,3.0996,33.14,64.06,92.29,0.7999
8/9/2017,14.09,47.48,415.5,344.25,129.4,1346,956.5,21797.79,1.6476,-114453,3.0985,33.08,64.01,91.663,0.8046
11/9/2017,14.29,48.07,409.25,345.5,130.6,1331,954.75,22057.37,1.6345,-100097,3.0865,33.11,63.78,91.352,0.8058
12/9/2017,14.02,48.23,416,340,133.8,1328,944.25,22118.86,1.6563,-77471,3.1023,33.11,63.93,91.899,0.8028
